Date,AAPL,MSFT,Spread,Z-Score
2022-01-03,5.185404378518353,5.783942456853052,0.9640486447362422,
2022-01-04,5.1726314429250575,5.766646372806944,0.9638990926058142,
2022-01-05,5.145671342325883,5.727502219919155,0.9655079820112213,
2022-01-06,5.128836898101333,5.719569073233209,0.9544634699133256,
2022-01-07,5.129824856044963,5.720078715223002,0.9550794704677115,
2022-01-10,5.129941149708264,5.720810739579067,0.9546615030736465,
2022-01-11,5.14658554491353,5.723067465672127,0.9696588480698933,
2022-01-12,5.149152494852122,5.733458303480542,0.9646421432455679,
2022-01-13,5.129941149708264,5.690213969745968,0.9769922663434523,
2022-01-14,5.135038709623051,5.707775448333102,0.9692727470980449,
2022-01-18,5.115963979413518,5.683135399117069,0.96818132391736,
2022-01-19,5.094714877168117,5.6853795143416805,0.9452943753860827,
2022-01-20,5.084313893483725,5.679659823914979,0.9390678536985604,
2022-01-21,5.071466791724424,5.661019141288381,0.9398254779672932,
2022-01-24,5.066590637169801,5.662166814199005,0.9341117051863641,
2022-01-25,5.055140438889765,5.635218610079332,0.9423293989755042,
2022-01-26,5.054577026544579,5.663313489245594,0.9212612046164699,
2022-01-27,5.051629637044917,5.673807341254029,0.91065497641367,
2022-01-28,5.11908034212272,5.701501942461795,0.9578930385623066,
2022-01-31,5.144870428701006,5.7102868490058505,0.9772715441321154,
2022-02-01,5.143897409135816,5.703122670444726,0.9815272325757691,
2022-02-02,5.150917050110744,5.718230113659006,0.9775208489124632,
2022-02-03,5.1340558918678525,5.678498574517173,0.9896573789798424,
2022-02-04,5.1323752441584745,5.6939473827275515,0.9767015646163228,
2022-02-07,5.128131559037153,5.677502456767662,0.9844600532735717,
2022-02-08,5.146430053548294,5.689426274015315,0.9940560624673997,
2022-02-09,5.154689486324121,5.711026174784147,0.9865510118238596,
2022-02-10,5.130807779599884,5.6822428477058535,0.983676544315033,
2022-02-11,5.110382305157109,5.657669296669555,0.98118584383315,
2022-02-14,5.111804482247423,5.657533573370162,0.9827070772907032,0.9143077947578717
2022-02-15,5.13469264076681,5.6759063714827445,0.9921860227626338,1.2862798511291704
2022-02-16,5.1333027573586225,5.674738448748748,0.9916485367229457,1.1869291973505167
2022-02-17,5.111804482247423,5.6450189129613175,0.9918407839047134,1.129106877303953
2022-02-18,5.102404444003306,5.635341274178122,0.9895038788559329,0.9617980670549778
2022-02-22,5.084431727713401,5.634611713463886,0.9720636255576913,0.17026908539006574
2022-02-23,5.058227192113364,5.6083771466893655,0.9650061405555892,-0.15803806618511118
2022-02-24,5.074769661766955,5.658208279340855,0.9451798290346751,-0.9862895556930503
2022-02-25,5.087651905821316,5.667399292772989,0.9513540988067124,-0.6912874661170719
2022-02-28,5.0892883459902665,5.6723649127061595,0.9493664282012144,-0.7327518091352776
2022-03-01,5.077592362645566,5.659429792204292,0.9471110202953348,-0.7893781333772643
2022-03-02,5.097971613539189,5.67703960243781,0.9546379176334696,-0.44796082039256896
2022-03-03,5.095988209059713,5.662713235998058,0.9631104762908764,-0.11488529477426483
2022-03-04,5.0774083506429735,5.642021775823131,0.9596320845123927,-0.30061598277974994
2022-03-07,5.0534050974359115,5.603513098581197,0.9637340254161391,-0.15914553380989557
2022-03-08,5.041660333695965,5.5924813386011065,0.9600406874282736,-0.3790587478870316
2022-03-09,5.076059291156794,5.637318924755797,0.9617153564275549,-0.3391413418210802
2022-03-10,5.048496758224173,5.627181146647579,0.941551785027519,-1.4301508616736547
2022-03-11,5.024297440566365,5.607663363832859,0.9315973366799186,-2.188663904207295
2022-03-14,4.9973758799626085,5.594617666959901,0.9141970546342826,-2.6885764292085934
2022-03-15,5.026621435787278,5.632628587168308,0.9157006996143906,-2.276307725663738
2022-03-16,5.055223916427837,5.657529418284686,0.9261295440209798,-1.6543685942315378
2022-03-17,5.061657143564913,5.660344629937023,0.9305081155422616,-1.3601947859907153
2022-03-18,5.082360283355275,5.67783867784642,0.9384433898152382,-0.9642874579714988
2022-03-21,5.090861747657915,5.673602500727009,0.9500365879492136,-0.44434589930105656
2022-03-22,5.111448897622605,5.689848979419729,0.9587663989976027,-0.043058388888667865
2022-03-23,5.1196488886503815,5.674704832070097,0.9780192028298824,0.8243760347395818
2022-03-24,5.142073407455225,5.689980387158844,0.9892950021338622,1.3085360467291296
2022-03-25,5.1458005593535265,5.688598297959497,0.9940308587711524,1.471169161396285
2022-03-28,5.150824656578419,5.7114516605602175,0.9823756453060764,0.9687446906619142
2022-03-29,5.16977811366603,5.726496982442338,0.9903484164225747,1.2823365062584904
2022-03-30,5.1631064462816845,5.7215707094207895,0.9872721428411273,1.1699800776510507
2022-03-31,5.145170757566481,5.703729576121682,0.9823576366344255,0.9896836477552642
2022-04-01,5.143451251414602,5.707323560884604,0.9780150946727577,0.8411470785146631
2022-04-04,5.166868329287977,5.725101154503658,0.9884573638725564,1.3082893014290204
2022-04-05,5.147744618694877,5.712030733031099,0.9788729768529061,0.865975675014247
2022-04-06,5.129121388393891,5.674738448748748,0.9874671677582141,1.182583462383714
2022-04-07,5.130923868822023,5.6809626292334485,0.9847269888889576,0.997188479719175
2022-04-08,5.118943609158609,5.6662549723942455,0.9834809735566061,0.8886794239891137
2022-04-11,5.093096480390116,5.626025022719164,0.9869952933152266,0.9722771983301
2022-04-12,5.104553921831052,5.61474378660211,1.00668623830882,1.6386800756805804
2022-04-13,5.120764238379883,5.634263799675614,1.008650057814151,1.5760150838852693
2022-04-14,5.090317453757332,5.606805949587152,0.9982431255540529,1.1089735083502625
