Date,AAPL,MSFT,GOOGL,AMZN
2022-01-03,178.10366821289062,323.1607666015625,143.80296325683594,170.4044952392578
2022-01-04,175.84326171875,317.6195373535156,143.21585083007812,167.52200317382812
2022-01-05,171.16583251953125,305.4267883300781,136.64561462402344,164.35699462890625
2022-01-06,168.3085174560547,303.0133361816406,136.6183624267578,163.25399780273438
2022-01-07,168.4748992919922,303.16778564453125,135.8938446044922,162.5540008544922
2022-01-10,168.4944305419922,303.3898010253906,137.5327911376953,161.48599243164062
2022-01-11,171.32240295410156,304.0752258300781,138.59056091308594,165.36199951171875
2022-01-12,171.76280212402344,307.2513427734375,140.27113342285156,165.20700073242188
2022-01-13,168.4944305419922,294.2476501464844,137.45098876953125,161.21400451660156
2022-01-14,169.35552978515625,299.46075439453125,138.337158203125,162.13800048828125
2022-01-18,166.15576171875,292.17205810546875,134.88320922851562,158.91749572753906
2022-01-19,162.66236877441406,292.82855224609375,134.0089111328125,156.2989959716797
2022-01-20,160.97926330566406,291.1584777832031,132.21473693847656,151.66749572753906
2022-01-21,158.92431640625,285.78125,129.28298950195312,142.64300537109375
2022-01-24,158.15126037597656,286.1094665527344,129.73178100585938,144.54400634765625
2022-01-25,156.3507843017578,278.5023193359375,125.89448547363281,139.98599243164062
2022-01-26,156.26271057128906,286.4377136230469,128.17364501953125,138.87249755859375
2022-01-27,155.8027801513672,289.4593811035156,127.947509765625,139.6374969482422
2022-01-28,166.67431640625,297.5878601074219,132.25790405273438,143.97799682617188
2022-01-31,171.0288543701172,300.21368408203125,134.1943817138672,149.57350158691406
2022-02-01,170.86245727539062,298.0705871582031,136.51568603515625,151.19349670410156
2022-02-02,172.0660858154297,302.6078796386719,146.78683471679688,150.6125030517578
2022-02-03,169.1891632080078,290.820556640625,141.9170684814453,138.8455047607422
2022-02-04,168.905029296875,295.3482360839844,142.118408203125,157.63949584960938
2022-02-07,168.1898193359375,290.5309753417969,138.05995178222656,157.9355010986328
2022-02-08,171.29571533203125,294.0159606933594,138.25631713867188,161.4134979248047
2022-02-09,172.71641540527344,300.43572998046875,140.43130493164062,161.1894989013672
2022-02-10,168.6404571533203,291.9114990234375,137.48370361328125,159.0034942626953
2022-02-11,165.2308807373047,284.8255615234375,133.1817626953125,153.2935028076172
2022-02-14,165.46603393554688,284.78704833984375,134.4150390625,155.16700744628906
2022-02-15,169.29693603515625,290.0675354003906,135.48870849609375,156.510498046875
2022-02-16,169.06182861328125,289.72900390625,136.6089324951172,158.10049438476562
2022-02-17,165.46603393554688,281.2451171875,131.4525604248047,154.65249633789062
2022-02-18,163.91798400878906,278.5364990234375,129.3340606689453,152.60150146484375
2022-02-22,160.99819946289062,278.3332824707031,128.74937438964844,150.19749450683594
2022-02-23,156.83407592773438,271.1263427734375,126.54212951660156,144.82699584960938
2022-02-24,159.4501495361328,284.97918701171875,131.603271484375,151.35800170898438
2022-02-25,161.51747131347656,287.6104736328125,133.35731506347656,153.7884979248047
2022-02-28,161.78201293945312,289.0421142578125,133.94992065429688,153.56300354003906
2022-03-01,159.90084838867188,285.3275146484375,132.96255493164062,151.14199829101562
2022-03-02,163.19290161132812,290.3965148925781,133.4683837890625,152.05250549316406
2022-03-03,162.86959838867188,286.2657775878906,132.80189514160156,147.89849853515625
2022-03-04,159.8714141845703,280.40350341796875,130.82522583007812,145.64100646972656
2022-03-07,156.0796661376953,269.8107604980469,125.34254455566406,137.4530029296875
2022-03-08,154.25729370117188,266.8506164550781,126.06258392333984,136.01449584960938
2022-03-09,159.65589904785156,279.08782958984375,132.3262939453125,139.2790069580078
2022-03-10,155.31544494628906,276.2727355957031,131.34393310546875,146.8175048828125
2022-03-11,151.60203552246094,270.932861328125,128.805908203125,145.52450561523438
2022-03-14,147.5751190185547,267.4212951660156,124.91854095458984,141.85299682617188
2022-03-15,151.9547882080078,277.7818908691406,128.13893127441406,147.3665008544922
2022-03-16,156.3638153076172,284.7857666015625,132.18797302246094,153.10400390625
2022-03-17,157.37298583984375,285.588623046875,132.7418975830078,157.23899841308594
2022-03-18,160.66506958007812,290.6286315917969,135.00965881347656,161.25050354003906
2022-03-21,162.03677368164062,289.400146484375,134.98585510253906,161.4915008544922
2022-03-22,165.4072265625,294.1402282714844,138.72146606445312,164.88900756835938
2022-03-23,166.7691192626953,289.7192687988281,137.14199829101562,163.4080047607422
2022-03-24,170.5510711669922,294.1789855957031,140.4114990234375,163.64950561523438
2022-03-25,171.1879425048828,293.7726135253906,140.51165771484375,164.77349853515625
2022-03-28,172.05018615722656,300.5636291503906,140.2959747314453,168.99049377441406
2022-03-29,175.34225463867188,305.1199645996094,141.33737182617188,169.31500244140625
2022-03-30,174.17630004882812,303.6204528808594,140.77500915527344,166.30099487304688
2022-03-31,171.08016967773438,298.2515869140625,137.9275360107422,162.99749755859375
2022-04-01,170.78622436523438,299.32537841796875,139.0016632080078,163.55999755859375
2022-04-04,174.83274841308594,304.6943054199219,141.79953002929688,168.34649658203125
2022-04-05,171.5210723876953,300.73773193359375,139.4385223388672,164.05499267578125
2022-04-06,168.35638427734375,289.72900390625,135.42869567871094,158.75599670410156
2022-04-07,168.6601104736328,291.5379638671875,134.77459716796875,157.7845001220703
2022-04-08,166.65155029296875,287.281494140625,132.19491577148438,154.4604949951172
2022-04-11,162.39927673339844,275.95355224609375,127.76750946044922,151.1219940185547
2022-04-12,164.27064514160156,272.8579406738281,126.66759490966797,150.78750610351562
2022-04-13,166.9552764892578,278.2365417480469,128.82920837402344,155.54100036621094
