Direction,Entry Date,Exit Date,PnL,Entry Z,Exit Z,Cumulative PnL,Pair
SHORT,2022-02-15,2022-02-22,0.00896663383778673,1.286291894369982,0.1702666265398708,0.00896663383778673,AAPL-MSFT
LONG,2022-03-10,2022-03-21,-0.004056079852746919,-1.4301556324039084,-0.4443383262415522,0.004910553985039812,AAPL-MSFT
SHORT,2022-03-24,2022-04-25,-0.013555017599073516,1.3085343933361373,0.1722776783593404,-0.008644463614033704,AAPL-MSFT
LONG,2022-04-27,2022-05-04,0.03501740263759068,-1.97472149846008,-0.3237875730184368,0.026372939023556974,AAPL-MSFT
LONG,2022-05-05,2022-06-02,-0.026930843405541083,-1.6275976342225469,-0.3896040499361632,-0.000557904381984109,AAPL-MSFT
LONG,2022-06-03,2022-06-08,0.016147596481494553,-1.1674200586733343,-0.4732626643726345,0.015589692099510444,AAPL-MSFT
LONG,2022-06-09,2022-07-05,-0.0002465513772724748,-1.1889269531049635,0.0253514922736266,0.015343140722237969,AAPL-MSFT
SHORT,2022-07-07,2022-08-30,-0.10204325663903546,1.0578003043163786,0.2953898632531743,-0.0867001159167975,AAPL-MSFT
SHORT,2022-09-12,2022-09-13,0.003924128093490964,1.2239318842087554,-0.2520133983340656,-0.08277598782330653,AAPL-MSFT
SHORT,2022-09-19,2022-09-28,0.016286794481929157,1.709531485542092,-0.4776498759941817,-0.06648919334137737,AAPL-MSFT
LONG,2022-09-29,2022-10-19,0.013943308140611954,-2.6705949962065194,-0.4146902182515186,-0.05254588520076542,AAPL-MSFT
SHORT,2022-10-26,2022-11-04,0.030755394597488994,1.4736922287498122,-0.0639024568707103,-0.021790490603276425,AAPL-MSFT
LONG,2022-11-09,2022-11-10,0.0061775758861699614,-1.014050550003165,-0.1760845708328512,-0.015612914717106463,AAPL-MSFT
LONG,2022-11-28,2023-01-06,-0.034576665352737734,-1.1772489987496852,-0.0462003948716338,-0.0501895800698442,AAPL-MSFT
SHORT,2023-01-19,2023-02-14,0.03399420763818917,1.1365030083768288,0.3395231822466472,-0.01619537243165503,AAPL-MSFT
SHORT,2023-02-16,2023-03-01,-0.006289899272736932,1.303813600558034,0.3769595355103924,-0.022485271704391963,AAPL-MSFT
SHORT,2023-03-03,2023-03-14,0.011039300095500693,1.2248857899058,0.2320227439777876,-0.01144597160889127,AAPL-MSFT
